Papua New Guinea         cases: 1      	 total deaths:       	First case: Mar 19 
St. Vincent Grenadines   cases: 1      	 total deaths:       	First case: Mar 10 
Sierra Leone             cases: 1      	 total deaths:       	First case: Mar 30 
Timor-Leste              cases: 1      	 total deaths:       	First case: Mar 20 
Peru                     cases: 1,065  	 total deaths: 30    	First case: Mar 05 
Panama                   cases: 1,075  	 total deaths: 27    	First case: Mar 09 
Mexico                   cases: 1,094  	 total deaths: 28    	First case: Feb 27 
Dominican Republic       cases: 1,109  	 total deaths: 51    	First case: Feb 29 
Iceland                  cases: 1,135  	 total deaths: 2     	First case: Feb 27 
Greece                   cases: 1,314  	 total deaths: 49    	First case: Feb 25 
South Africa             cases: 1,353  	 total deaths: 5     	First case:  Mar 04 
India                    cases: 1,397  	 total deaths: 35    	First case: Jan 29 
Finland                  cases: 1,418  	 total deaths: 17    	First case: Jan 28 
Indonesia                cases: 1,528  	 total deaths: 136   	First case: Mar 01 
Saudi Arabia             cases: 1,563  	 total deaths: 10    	First case: Mar 01 
Thailand                 cases: 1,651  	 total deaths: 10    	First case: Jan 12 
Pakistan                 cases: 1,938  	 total deaths: 26    	First case: Feb 25 
Japan                    cases: 1,953  	 total deaths: 56    	First case: Jan 14 
Syria                    cases: 10     	 total deaths: 2     	First case: Mar 21 
Greenland                cases: 10     	 total deaths:       	First case: Mar 15 
Seychelles               cases: 10     	 total deaths:       	First case: Mar 13 
Austria                  cases: 10,122 	 total deaths: 128   	First case: Feb 24 
Italy                    cases: 105,792	 total deaths: 12,428 	First case: Jan 29 
Bolivia                  cases: 107    	 total deaths: 6     	First case: Mar 09 
Kyrgyzstan               cases: 107    	 total deaths:       	First case: Mar 17 
Montenegro               cases: 109    	 total deaths: 2     	First case: Mar 16 
Cambodia                 cases: 109    	 total deaths:       	First case: Jan 26 
Namibia                  cases: 11     	 total deaths:       	First case: Mar 13 
Georgia                  cases: 110    	 total deaths:       	First case: Feb 25 
Guadeloupe               cases: 114    	 total deaths: 4     	First case: Mar 12 
Palestine                cases: 119    	 total deaths: 1     	First case: Mar 04 
Guyana                   cases: 12     	 total deaths: 2     	First case: Mar 11 
Cayman Islands           cases: 12     	 total deaths: 1     	First case: Mar 12 
Dominica                 cases: 12     	 total deaths:       	First case: Mar 21 
Equatorial Guinea        cases: 12     	 total deaths:       	First case: Mar 13 
Mongolia                 cases: 12     	 total deaths:       	First case: Mar 09 
Netherlands              cases: 12,595 	 total deaths: 1,039 	First case: Feb 26 
Belgium                  cases: 12,775 	 total deaths: 705   	First case: Feb 03 
Martinique               cases: 128    	 total deaths: 3     	First case: Mar 04 
Brunei                   cases: 129    	 total deaths: 1     	First case: Mar 08 
Turkey                   cases: 13,531 	 total deaths: 214   	First case: Mar 09 
Venezuela                cases: 135    	 total deaths: 3     	First case: Mar 12 
Nigeria                  cases: 135    	 total deaths: 2     	First case: Feb 27 
Bahamas                  cases: 14     	 total deaths:       	First case: Mar 14 
Honduras                 cases: 141    	 total deaths: 7     	First case: Mar 10 
Channel Islands          cases: 141    	 total deaths: 3     	First case: Mar 08 
Mauritius                cases: 143    	 total deaths: 5     	First case: Mar 17 
Sri Lanka                cases: 143    	 total deaths: 2     	First case: Jan 26 
Myanmar                  cases: 15     	 total deaths: 1     	First case: Mar 22 
Saint Martin             cases: 15     	 total deaths: 1     	First case: Feb 29 
Eritrea                  cases: 15     	 total deaths:       	First case: Mar 20 
Haiti                    cases: 15     	 total deaths:       	First case: Mar 19 
Belarus                  cases: 152    	 total deaths: 1     	First case: Feb 27 
Gabon                    cases: 16     	 total deaths: 1     	First case: Mar 12 
New Caledonia            cases: 16     	 total deaths:       	First case: Mar 17 
Switzerland              cases: 16,605 	 total deaths: 433   	First case: Feb 24 
Ghana                    cases: 161    	 total deaths: 5     	First case: Mar 11 
Ivory Coast              cases: 168    	 total deaths: 1     	First case: Mar 10 
Faeroe Islands           cases: 169    	 total deaths:       	First case: Mar 03 
Malta                    cases: 169    	 total deaths:       	First case: Mar 06 
Uzbekistan               cases: 172    	 total deaths: 2     	First case: Mar 14 
Afghanistan              cases: 174    	 total deaths: 4     	First case: Feb 23 
Senegal                  cases: 175    	 total deaths:       	First case: Mar 01 
Maldives                 cases: 18     	 total deaths:       	First case: Mar 06 
USA                      cases: 185,159	 total deaths: 3,773 	First case: Jan 20 
Cuba                     cases: 186    	 total deaths: 6     	First case: Mar 10 
Tanzania                 cases: 19     	 total deaths: 1     	First case: Mar 15 
Congo                    cases: 19     	 total deaths:       	First case: Mar 14 
Oman                     cases: 192    	 total deaths: 1     	First case: Feb 23 
Cameroon                 cases: 193    	 total deaths: 6     	First case: Mar 05 
MS Zaandam               cases: 2      	 total deaths:       	First case: Mar 26 
Anguilla                 cases: 2      	 total deaths:       	First case: Mar 25 
Burundi                  cases: 2      	 total deaths:       	First case: Mar 30 
Philippines              cases: 2,084  	 total deaths: 88    	First case: Jan 29 
Luxembourg               cases: 2,178  	 total deaths: 23    	First case: Feb 28 
Ecuador                  cases: 2,240  	 total deaths: 75    	First case: Feb 28 
Romania                  cases: 2,245  	 total deaths: 82    	First case: Feb 25 
Poland                   cases: 2,311  	 total deaths: 33    	First case: Mar 03 
Russia                   cases: 2,337  	 total deaths: 17    	First case: Jan 30 
Chile                    cases: 2,738  	 total deaths: 12    	First case: Mar 02 
Malaysia                 cases: 2,766  	 total deaths: 43    	First case: Jan 24 
Denmark                  cases: 2,860  	 total deaths: 90    	First case: Feb 26 
Vietnam                  cases: 207    	 total deaths:       	First case: Jan 22 
Guinea                   cases: 22     	 total deaths:       	First case: Mar 12 
San Marino               cases: 230    	 total deaths: 25    	First case: Feb 26 
